,Gene,AF16_Control,AF16_Treatment,HK104_Control,HK104_Treatment,log2foldchange_control,log2foldchange_treatment
108,WBGene00023645,402,568,32,21,3.6510516911789286,4.7574296967259215
109,WBGene00023646,29,8,8,2,1.857980995127572,2.0
114,WBGene00023654,4,1,5,1,-0.3219280948873623,0.0
116,WBGene00023658,1,8,1,1,0.0,3.0
117,WBGene00023659,8,5,21,12,-1.3923174227787605,-1.2630344058337937
118,WBGene00023662,3,4,1,1,1.584962500721156,2.0
119,WBGene00023663,26,18,273,257,-3.3923174227787602,-3.835699547751566
120,WBGene00023664,48,1,1,1,5.584962500721156,0.0
121,WBGene00023665,139,235,70,83,0.989658055778541,1.501477515218075
122,WBGene00023666,11,1,1,1,3.4594316186372973,0.0
123,WBGene00023667,1,4,1,1,0.0,2.0
124,WBGene00023668,5,4,1,1,2.321928094887362,2.0
126,WBGene00023671,16,3,28,1,-0.8073549220576042,1.584962500721156
128,WBGene00023673,886,833,228,179,1.9582728743902766,2.218356908101291
129,WBGene00023676,44,33,53,291,-0.26848883592590184,-3.1404812235498305
130,WBGene00023677,437,400,113,125,1.9513105070854107,1.6780719051126378
131,WBGene00023678,60,34,42,1,0.5145731728297582,5.087462841250339
132,WBGene00023679,202,63,54,14,1.9033239805883262,2.169925001442312
133,WBGene00023681,676,192,1,3,9.400879436282183,6.0
134,WBGene00023682,1,4,1,1,0.0,2.0
135,WBGene00023683,75,70,19,28,1.9808911770522952,1.3219280948873624
136,WBGene00023684,353,86,156,58,1.178122154408932,0.5682837595745259
137,WBGene00023685,2,1,1,1,1.0,0.0
138,WBGene00023686,70,8,9,1,2.959358015502654,3.0
139,WBGene00023688,21,11,18,8,0.22239242133644802,0.45943161863729726
140,WBGene00023689,3,4,1,1,1.584962500721156,2.0
143,WBGene00023692,294,223,20,14,3.877744249949002,3.9935449778627006
144,WBGene00023694,1,1,1,1,0.0,0.0
145,WBGene00023695,2,1,1,1,1.0,0.0
146,WBGene00023698,9,3,1,1,3.169925001442312,1.584962500721156
147,WBGene00023699,1,8,23,24,-4.523561956057013,-1.5849625007211563
148,WBGene00023700,10,4,69,18,-2.7865963618908065,-2.1699250014423126
149,WBGene00023701,12,6,7,3,0.777607578663552,1.0
150,WBGene00023702,9,13,1,1,3.169925001442312,3.700439718141092
151,WBGene00023703,99,57,103,53,-0.05714390710360873,0.10496955960154247
152,WBGene00023704,481,396,1335,515,-1.4727309428048743,-0.3790720019909712
153,WBGene00023705,37,33,25,15,0.5655971758542251,1.1375035237499351
154,WBGene00023706,719,588,898,592,-0.32072367430184917,-0.009781020792585447
155,WBGene00023708,363,250,116,70,1.6458447428681786,1.8365012677171206
156,WBGene00023710,719,777,502,489,0.5183044064885258,0.6680801334554762
157,WBGene00023711,4440,4401,2404,2314,0.8851227805262828,0.9274425072870561
158,WBGene00023712,66,65,35,38,0.9151111024134869,0.774440299584869
159,WBGene00023713,10702,9639,10444,9419,0.03520607128852065,0.03330958216190029
160,WBGene00023714,18,19,2,1,3.169925001442312,4.247927513443585
161,WBGene00023715,106,71,55,44,0.9465607410385396,0.6903155008673847
162,WBGene00023716,74,44,50,59,0.5655971758542251,-0.423211430724544
163,WBGene00023718,330,372,353,383,-0.09720215902536457,-0.04204177081692574
164,WBGene00023719,1384,1150,857,786,0.6914768335242248,0.5490326435731311
165,WBGene00023720,95,74,123,126,-0.3726588970082921,-0.7678265578709667
166,WBGene00023722,24,15,31,22,-0.36923380966571906,-0.5525410230287788
167,WBGene00023723,16,10,8,7,1.0,0.5145731728297582
168,WBGene00023724,5,2,10,3,-1.0,-0.5849625007211563
169,WBGene00023725,6,3,5,3,0.2630344058337938,0.0
170,WBGene00023726,12,2,1,3,3.584962500721156,-0.5849625007211563
171,WBGene00023727,8,3,28,1,-1.8073549220576042,1.584962500721156
172,WBGene00023728,11,2,14,4,-0.34792330342030686,-1.0
173,WBGene00023729,1464,1440,1184,1126,0.3062464726550926,0.3548619842494451
174,WBGene00023730,34,10,9,2,1.917537839808027,2.321928094887362
176,WBGene00023733,101,33,128,54,-0.34178851724820525,-0.710493382805015
177,WBGene00023734,1,5,1,1,0.0,2.321928094887362
179,WBGene00023739,11,5,1,1,3.4594316186372973,2.321928094887362
180,WBGene00023740,214,100,28,31,2.9341120643435428,1.6896598793878495
181,WBGene00023741,213,231,189,281,0.1724671960047656,-0.28267727880486854
182,WBGene00023742,255,260,287,282,-0.17055348981682983,-0.11718353937033905
183,WBGene00023744,332,261,184,150,0.8514774752899119,0.7990873060740036
184,WBGene00023745,34,8,463,669,-3.767405542009897,-6.385862400641461
185,WBGene00023746,1,3,6,10,-2.584962500721156,-1.7369655941662063
186,WBGene00023747,265,116,317,153,-0.25849048068884567,-0.3994068475650797
187,WBGene00023748,11,1,2,1,2.4594316186372973,0.0
188,WBGene00023749,17,3,4,1,2.0874628412503395,1.584962500721156
189,WBGene00023750,1,4,1,1,0.0,2.0
190,WBGene00023751,1,4,1,1,0.0,2.0
191,WBGene00023752,2,1,6,1,-1.5849625007211563,0.0
192,WBGene00023753,1,1,2,1,-1.0,0.0
194,WBGene00023756,257,40,107,23,1.264157562792731,0.7983661388303495
195,WBGene00023757,2,1,2,1,0.0,0.0
196,WBGene00023759,350,14,1,1,8.451211111832329,3.807354922057604
197,WBGene00023760,381,89,35,4,3.4443641705483556,4.475733430966398
198,WBGene00023761,22,8,31,5,-0.4947646917495779,0.6780719051126377
199,WBGene00023762,11,9,1,5,3.4594316186372973,0.8479969065549501
200,WBGene00023763,20,1,1,1,4.321928094887363,0.0
201,WBGene00023764,1,1,1,1,0.0,0.0
202,WBGene00023765,489,268,123,107,1.9911761496129938,1.3246222040566253
203,WBGene00023767,3,8,3,3,0.0,1.4150374992788437
204,WBGene00023769,174,42,3,1,5.857980995127572,5.392317422778761
205,WBGene00023770,3,1,1,1,1.584962500721156,0.0
206,WBGene00023771,82,35,91,30,-0.15024263558061254,0.22239242133644802
207,WBGene00023772,1,1,1,1,0.0,0.0
208,WBGene00023773,665,697,396,381,0.7478539103089423,0.871367658375101
209,WBGene00023774,33,11,149,17,-2.1747744011037082,-0.6280312226130421
210,WBGene00023775,93,95,1,2,6.539158811108031,5.569855608330948
211,WBGene00023776,1084,1278,427,509,1.3440567817333813,1.3281502748712992
212,WBGene00023777,11,4,43,26,-1.9668331360648006,-2.700439718141092
213,WBGene00023778,12,14,6,1,1.0,3.807354922057604
214,WBGene00023780,7,1,8,9,-0.19264507794239588,-3.1699250014423126
215,WBGene00023782,4,1,13,2,-1.7004397181410922,-1.0
216,WBGene00023783,146,35,52,39,1.489384840738925,-0.15611920191728185
217,WBGene00023785,530,443,22,24,4.590416930813264,4.206200387833862
218,WBGene00023786,15,8,1,1,3.9068905956085187,3.0
219,WBGene00023788,9,4,69,34,-2.9385994553358565,-3.0874628412503395
220,WBGene00023790,4,1,6,9,-0.5849625007211563,-3.1699250014423126
221,WBGene00023792,31,3,7,5,2.146841388329271,-0.7369655941662062
222,WBGene00023793,53,2,1,3,5.727920454563199,-0.5849625007211563
224,WBGene00023795,111,237,1,1,6.794415866350106,7.888743248898259
225,WBGene00023796,227,176,262,199,-0.2068745142465352,-0.17719300190635148
226,WBGene00023797,1361,1121,57,48,4.577561337339253,4.545608062084271
228,WBGene00023799,1,9,4,10,-2.0,-0.15200309344504995
229,WBGene00023800,490,202,637,284,-0.3785116232537297,-0.4915356367528872
230,WBGene00023801,10,4,7,8,0.5145731728297582,-1.0
232,WBGene00023803,3,1,22,1,-2.8744691179161412,0.0
233,WBGene00023804,1,2,5,1,-2.321928094887362,1.0
234,WBGene00023805,310,230,372,280,-0.2630344058337938,-0.2837929660005913
235,WBGene00023806,1303,897,1053,855,0.3073316475424176,0.06918356514600091
236,WBGene00023807,275,166,315,167,-0.19592020997525686,-0.008664861127127537
237,WBGene00023808,924,801,643,552,0.5230741140881102,0.537133975630541
238,WBGene00023809,1035,1059,1021,1000,0.01964790150888599,0.08270258933024935
240,WBGene00023811,298,363,298,946,0.0,-1.3818706353436445
241,WBGene00023812,6,3,1,23,2.584962500721156,-2.9385994553358565
242,WBGene00023813,325,228,453,318,-0.47907133213041825,-0.47999294111961377
244,WBGene00023815,1,1,1,1,0.0,0.0
245,WBGene00023816,2773,3331,2677,3316,0.05083047739870097,0.006511347178600648
246,WBGene00023817,1472,1101,951,758,0.6302604251964493,0.5385447153932772
247,WBGene00023818,202,89,26,6,2.9577717646107025,3.8907709302452416
248,WBGene00023819,31,17,9,10,1.784271308944563,0.765534746362977
249,WBGene00023820,57,18,44,5,0.37345839552744436,1.84799690655495
250,WBGene00023821,4,2,10,5,-1.3219280948873622,-1.3219280948873622
251,WBGene00023822,386,129,342,154,0.1746045223821827,-0.25555928527164723
252,WBGene00023823,2,1,9,2,-2.1699250014423126,-1.0
253,WBGene00023824,7034,3421,4705,2433,0.5801506120094079,0.4916817838294706
254,WBGene00023825,71,16,73,16,-0.040077439375335165,0.0
255,WBGene00023826,5249,1441,2948,798,0.8323060731157077,0.8526096839524018
256,WBGene00023827,13,11,22,10,-0.758991900496205,0.13750352374993502
257,WBGene00023828,981,759,648,518,0.598259323334614,0.5511477877289125
258,WBGene00023829,1,19,5,1,-2.321928094887362,4.247927513443585
259,WBGene00023830,3463,3546,1436,1319,1.269966638374177,1.426747971647144
260,WBGene00023831,61,27,26,7,1.2302976194217943,1.9475325801058645
262,WBGene00023833,101,25,120,40,-0.24867911285672378,-0.6780719051126377
263,WBGene00023834,20,11,20,10,0.0,0.13750352374993502
264,WBGene00023835,2577,389,1010,118,1.3513372442204628,1.7209832956243507
267,WBGene00023838,5,1,2,1,1.3219280948873624,0.0
268,WBGene00023839,1647,1666,1303,1130,0.3380034711582203,0.5600656280629975
269,WBGene00023840,5,6,1,3,2.321928094887362,1.0
270,WBGene00023841,25,19,13,7,0.9434164716336326,1.4405725913859815
271,WBGene00023842,33817,36805,9783,10440,1.7893998330200596,1.8177800594071798
272,WBGene00023843,2468,1078,34,30,6.1816638378990785,5.167250867143987
274,WBGene00023845,246,159,213,285,0.20780488511340164,-0.8419351537677487
275,WBGene00023846,210,178,48,46,2.1292830169449664,1.9521714749093848
276,WBGene00023847,2658,2404,2406,2343,0.1437044621000979,0.03707994184804987
277,WBGene00023848,1268,1040,1156,912,0.13341334763872834,0.18947779886371283
278,WBGene00023849,2599,2040,1983,1532,0.39027195624335265,0.41315285493390086
280,WBGene00023851,12,1,16,1,-0.4150374992788438,0.0
281,WBGene00023852,747,324,907,340,-0.27999430773928535,-0.06954093325307711
282,WBGene00023853,8,20,1,2,3.0,3.321928094887362
283,WBGene00023854,285,125,299,39,-0.06918356514600096,1.6803820657998387
284,WBGene00023855,91,64,90,47,0.0159415438690215,0.4454111483223626
285,WBGene00023856,27,13,38,17,-0.493040011280117,-0.38702312310924736
286,WBGene00023857,47,35,43,29,0.12832409697553937,0.2713020218173943
287,WBGene00023858,161,60,130,46,0.30854906508616253,0.3833286395515057
290,WBGene00023861,5,10,15,6,-1.5849625007211563,0.7369655941662062
291,WBGene00023862,100,50,130,31,-0.3785116232537297,0.6896598793878495
292,WBGene00023864,5,1,1,1,2.321928094887362,0.0
293,WBGene00023865,318,189,286,154,0.15301161850596592,0.2954558835261713
294,WBGene00023866,1,1,56,46,-5.807354922057605,-5.523561956057013
295,WBGene00023867,591,611,683,627,-0.20872744811255803,-0.037293062983309325
296,WBGene00023868,204,186,126,103,0.6951454184715792,0.8526582839248131
297,WBGene00023869,785,827,762,748,0.04290165628566735,0.14484905928363814
298,WBGene00023870,2010,1952,1988,2050,0.015877744504004816,-0.07067085682992218
300,WBGene00023874,114,47,118,39,-0.049753035197099615,0.26918663281538896
301,WBGene00023875,411,440,437,468,-0.08849488581891551,-0.08900500605874494
302,WBGene00023876,3419,3513,4245,3539,-0.31219013100700627,-0.010638185202859083
303,WBGene00023878,290,261,233,205,0.3157229453606543,0.34842589706443844
304,WBGene00023879,79,32,69,27,0.19525629139893383,0.24511249783653138
305,WBGene00023880,223,193,272,219,-0.28656294133003474,-0.18233002233309298
307,WBGene00023883,17,1,16,21,0.0874628412503394,-4.392317422778761
310,WBGene00023888,642,380,305,323,1.0737640546720546,0.23446525363702297
311,WBGene00023889,388,337,235,236,0.7233958956221279,0.5139617318200171
312,WBGene00023890,374,280,277,252,0.43315229383844844,0.15200309344505006
314,WBGene00023892,2685,2309,2963,2776,-0.1421365380885074,-0.26573939480414566
315,WBGene00023893,51,22,242,103,-2.246437895303099,-2.227068908545921
317,WBGene00023895,27,16,23,21,0.2313255461064558,-0.39231742277876036
319,WBGene00023898,196,143,179,99,0.13089406685095173,0.5305147166987798
321,WBGene00023900,13,6,34,20,-1.3870231231092474,-1.7369655941662063
322,WBGene00023901,9,8,8,1,0.16992500144231237,3.0
324,WBGene00023903,10,1,3,1,1.7369655941662063,0.0
326,WBGene00023905,4,1,1,1,2.0,0.0
327,WBGene00023906,44,6,36,16,0.289506617194985,-1.415037499278844
328,WBGene00023907,231,202,184,163,0.32818708535904456,0.30948332852071714
329,WBGene00023908,2,5,3,1,-0.5849625007211563,2.321928094887362
330,WBGene00023909,8,1,4,2,1.0,-1.0
331,WBGene00023910,10,5,8,1,0.32192809488736235,2.321928094887362
332,WBGene00023911,4,2,15,1,-1.9068905956085185,1.0
337,WBGene00023917,1,1,1,1,0.0,0.0
340,WBGene00023920,42,40,37,27,0.18286405714981044,0.5670405927238937
341,WBGene00023921,16,6,15,10,0.09310940439148145,-0.7369655941662062
342,WBGene00023922,901,929,459,508,0.9730329523997306,0.8708500996104871
343,WBGene00023923,24357,19766,17384,16318,0.48657637086806643,0.2765567001116951
344,WBGene00023924,521,580,468,505,0.15477484269510375,0.19976951237577728
345,WBGene00023925,136,132,68,86,1.0,0.6181293646563556
346,WBGene00023926,134,192,100,87,0.4222330006830478,1.142019004872428
347,WBGene00023927,523,492,729,746,-0.47910786807999567,-0.6005173149159979
349,WBGene00023931,20,21,60,13,-1.5849625007211563,0.6918777046376682
350,WBGene00023932,633,611,562,477,0.1716353692074152,0.357183113813218
351,WBGene00023933,1067,948,969,884,0.13899160540934374,0.1008406895068275
352,WBGene00023934,30,25,59,38,-0.9757524537533228,-0.6040713236688607
353,WBGene00023935,502,491,614,567,-0.29055129141940733,-0.20762571062753576
354,WBGene00023936,24870,26597,25285,27101,-0.023875270910377517,-0.027082559992942637
355,WBGene00023937,23,6,28,11,-0.2837929660005913,-0.8744691179161412
356,WBGene00023938,8,1,112,21,-3.807354922057604,-4.392317422778761
357,WBGene00023939,733,577,578,494,0.34274370563313306,0.2240602770608048
358,WBGene00023940,5,3,14,1,-1.4854268271702418,1.584962500721156
359,WBGene00023941,480,444,756,586,-0.6553518286125543,-0.400340988072142
361,WBGene00023944,16,6,26,9,-0.7004397181410921,-0.5849625007211563
362,WBGene00023945,5,1,3,3,0.7369655941662062,-1.5849625007211563
363,WBGene00023946,3,1,1,1,1.584962500721156,0.0
364,WBGene00023947,24,44,30,20,-0.3219280948873623,1.1375035237499351
365,WBGene00023949,235,285,233,230,0.012330801910719414,0.30932805810772873
368,WBGene00023952,1,1,3,1,-1.5849625007211563,0.0
369,WBGene00023953,3,1,9,1,-1.5849625007211563,0.0
370,WBGene00023954,55,36,14,7,1.9740047914670553,2.3625700793847084
373,WBGene00023957,383,194,46,45,3.057638625867944,2.108059745857453
374,WBGene00023958,4,6,35,285,-3.1292830169449664,-5.569855608330948
375,WBGene00023959,551,488,578,463,-0.06901717392952128,0.07586895430264987
376,WBGene00023960,304,250,296,319,0.03847414781463564,-0.35162832910278236
377,WBGene00023961,5,2,1,1,2.321928094887362,1.0
378,WBGene00023962,1086,987,535,477,1.0214133065158522,1.0490608184508863
379,WBGene00023963,30,9,3,3,3.321928094887362,1.584962500721156
380,WBGene00023964,99,77,13,10,2.9289169019385173,2.944858445807539
381,WBGene00023965,1536,1215,923,837,0.734775663075382,0.5376567859427995
382,WBGene00023966,270,236,169,162,0.6759361607686465,0.5427930464772166
383,WBGene00023967,73,46,3,3,4.604862058158861,3.9385994553358565
384,WBGene00023968,1567,1135,731,547,1.100061868520143,1.0530795593857207
385,WBGene00023969,164,72,10,5,4.035623909730721,3.84799690655495
386,WBGene00023970,55,13,35,12,0.6520766965796931,0.11547721741993588
387,WBGene00023971,3796,3268,1797,1788,1.0788895835111674,0.8700612469623658
388,WBGene00023972,1453,1427,730,729,0.9930663338654617,0.9689946151488263
389,WBGene00023973,203,222,214,201,-0.07613106921597064,0.14336417517117744
390,WBGene00023974,5,5,8,2,-0.6780719051126377,1.3219280948873624
391,WBGene00023975,223,118,62,27,1.8467035895334294,2.1277555471983725
397,WBGene00023983,3,1,8,1,-1.415037499278844,0.0
398,WBGene00023984,149,38,104,44,0.5187288023210694,-0.21150410519371174
399,WBGene00023985,656,439,689,372,-0.0708081680862076,0.23891831842732686
400,WBGene00023986,746,597,501,457,0.5743650270600295,0.3855367662067354
401,WBGene00023987,172,51,195,79,-0.1810655590475128,-0.6313554062056074
402,WBGene00023988,2,3,3,1,-0.5849625007211563,1.584962500721156
403,WBGene00023989,2529,2680,2413,2628,0.06773912144748698,0.028267725022805265
404,WBGene00023990,2337,2474,2689,2597,-0.20241202109004758,-0.07000051370203775
405,WBGene00023991,1142,1108,1246,1219,-0.12574141766115915,-0.13774024457102368
406,WBGene00023992,1577,2061,1700,2209,-0.1083520862345539,-0.10004891381601838
407,WBGene00023993,1,6,4,1,-2.0,2.584962500721156
409,WBGene00023995,18,3,14,9,0.36257007938470837,-1.5849625007211563
410,WBGene00023996,3,2,6,2,-1.0,0.0
412,WBGene00023998,11,1,2,1,2.4594316186372973,0.0
413,WBGene00023999,25,7,8,19,1.6438561897747246,-1.4405725913859815
415,WBGene00024001,1,2,141,153,-7.139551352398794,-6.257387842692652
416,WBGene00024002,93,42,65,41,0.516790998079577,0.034765418160676624
418,WBGene00024004,1,1,2,1,-1.0,0.0
419,WBGene00024005,68,7,117,22,-0.782901878333065,-1.6520766965796931
420,WBGene00024006,25,5,24,2,0.058893689053568614,1.3219280948873624
421,WBGene00024007,22,4,4,5,2.4594316186372973,-0.3219280948873623
422,WBGene00024008,957,271,974,359,-0.025402847596316617,-0.4056909924691797
423,WBGene00024009,1,2,6,6,-2.584962500721156,-1.5849625007211563
424,WBGene00024010,61,33,40,18,0.6088092426755238,0.874469117916141
425,WBGene00024011,1,2,2,3,-1.0,-0.5849625007211563
426,WBGene00024012,6527,4302,8102,5658,-0.3118580457224035,-0.3952846519731918
427,WBGene00024013,2289,2236,2453,2220,-0.09982977100191535,0.010360511605721682
428,WBGene00024014,1,1,2,1,-1.0,0.0
430,WBGene00024016,9,1,4,10,1.1699250014423124,-3.321928094887362
433,WBGene00024019,105,68,110,71,-0.06711419585853691,-0.06228427825434273
435,WBGene00024021,9,2,2,2,2.169925001442312,0.0
436,WBGene00024022,1,4,334,376,-8.383704292474052,-6.554588851677638
437,WBGene00024023,188,275,206,228,-0.13191167550558094,0.2703977942472804
438,WBGene00024024,60,46,69,45,-0.20163386116965057,0.03170885972733805
439,WBGene00024025,45,24,28,55,0.6844981742720707,-1.1963972128035034
440,WBGene00024026,1130,289,867,203,0.38221887408071514,0.5095897653155025
441,WBGene00024027,2,1,5,1,-1.3219280948873622,0.0
442,WBGene00024028,2178,2360,2101,2096,0.05192779204386106,0.17114814271175324
443,WBGene00024029,784,918,825,926,-0.0735404650179699,-0.012518039846428507
444,WBGene00024030,337,373,346,355,-0.03802344645486619,0.07135660586319327
445,WBGene00024031,891,613,783,593,0.18641312423088138,0.04785496914477796
446,WBGene00024032,1,1,2,1,-1.0,0.0
447,WBGene00024033,1902,1718,1964,1741,-0.04627768345412963,-0.019186166512637562
448,WBGene00024034,4301,4686,4388,4747,-0.028891394458543336,-0.018659095566296663
449,WBGene00024035,36,27,29,13,0.3119440063147403,1.0544477840223765
450,WBGene00024037,33,23,50,20,-0.5994620704162712,0.2016338611696504
452,WBGene00024039,1456,1239,1314,1274,0.1480450798763666,-0.04018909011569885
453,WBGene00024040,121,67,133,85,-0.13641919822659507,-0.3433017456799294
454,WBGene00024041,52,27,64,16,-0.2995602818589078,0.7548875021634686
455,WBGene00024044,482,616,900,886,-0.9008918549870755,-0.524376347860117
456,WBGene00024045,226,84,148,103,0.6107255967862378,-0.29418310440445816
457,WBGene00024046,3804,4204,3634,3819,0.06595882662644753,0.13856774933966445
458,WBGene00024051,187,179,208,203,-0.15354525825345544,-0.18152013992091975
459,WBGene00024052,217,74,146,48,0.571726673564462,0.6244908649077937
460,WBGene00024053,22,11,77,21,-1.8073549220576042,-0.9328858041414629
461,WBGene00024054,2,3,9,1,-2.1699250014423126,1.584962500721156
462,WBGene00024055,99,19,69,15,0.5208321633014404,0.3410369178350669
463,WBGene00024056,1060,1377,853,1195,0.31344661813227126,0.2045179412668532
464,WBGene00024057,1989,1863,1829,1747,0.12098820108502742,0.0927480660248782
